"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW2";"Toggle_3Lug";2;"SW_SPDT";;;
2;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N4001";;;
3;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"LM324";;;
4;"Q4";"TO-220-3_Vertical";1;"TIP32A";;;
5;"Q3";"TO-220-3_Vertical";1;"TIP31A";;;
6;"RV2";"Alpha_Pot_16MM";1;"A100K";;;
7;"RV5";"Alpha_Pot_16MM";1;"B10K";;;
8;"RV4";"Alpha_Pot_16MM";1;"A1M";;;
9;"RV1";"Alpha_Pot_16MM";1;"A10K";;;
10;"BT1";"9V_Clip";1;"9V_Battery";;;
11;"D2";"LED-5MM";1;"LED";;;
12;"R22";"Resistor_Vishay5W";1;"8-Ohm-5W";;;
13;"RV3";"Potentiometer_Trimmer_Piher_PT-6v_Horizontal";1;"100k_TRIM";;;
14;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"CV";;;
15;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Headphones";;;
16;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Power";;;
17;"LS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
18;"C8";"CP_Radial_D6.3mm_P2.50mm";1;"100uf";;;
19;"C1,C3";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"47pf";;;
20;"C2,C4";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"0.047uf";;;
21;"C5";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"0.1uf";;;
22;"C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"0.01uf";;;
23;"C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.47uf";;;
24;"C9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"DNP";;;
25;"C10,C11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10uf";;;
26;"Q1,Q2";"SOT-23_Handsoldering";2;"2N3904";;;
27;"R1,R2";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"1k";;;
28;"R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"22k";;;
29;"R4,R21,R24,R25";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"100k";;;
30;"R5,R8,R12,R20";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"47k";;;
31;"R6,R7";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"2.2k";;;
32;"R9,R13";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"1.5M";;;
33;"R10";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2.2M";;;
34;"R11";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1M";;;
35;"R14,R15,R17,R18,R19,R23";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";6;"10k";;;
36;"R16";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10";;;
37;"R26,R27,R29";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"220";;;
38;"LOGO";"HHLOGO";1;"";;;
